PDB,LOOP,CAN_OLD,CAN_NEW,TYPE
1bm3,L1,,11A,FAB
2ajx,L1,,16A,FAB
1jfq,L1,,11A,FAB
2v7n,L1,,12D,FAB
1r0a,L1,,11A,FAB
1plg,L1,,16A,FAB
1u8o,L1,,11A,FAB
3gi8,L1,,17B,FAB
3eyo,L1,,11A,FAB
1nc2,L1,,14B,FAB
1ce1,L1,,11A,FAB
3eot,L1,,12C,FAB
1z3g,L1,,10A,FAB
2a6d,L1,,11A,FAB
1gig,L1,14B,14B,FAB
1a7n,L1,,11A,FV
1oaz,L1,,14B,FV
1fsk,L1,,11A,FAB
1u8j,L1,,11A,FAB
3gk8,L1,,11A,FAB
1a4j,L1,,16A,FAB
1p7k,L1,,11A,FAB
1jhk,L1,,11A,FAB
1e6o,L1,,10A,FAB
3gbm,L1,,13A,FAB
2dqf,L1,,11A,FV
1lk3,L1,,11A,FAB
2hkh,L1,,16A,FAB
1il1,L1,,17A,FAB
1it9,L1,,15G,FAB
1cfv,L1,,16D,FV
2fx9,L1,,12D,FAB
1dee,L1,,11A,FAB
1dbm,L1,,16A,FAB
1bey,L1,,11A,FAB
1t66,L1,,16A,FAB
2jb6,L1,,14H,
1hi6,L1,,11A,FAB
2ih3,L1,,11A,FAB
1fns,L1,,11A,FAB
1mhp,L1,,10A,FAB
3duu,L1,,17A,FV
2fed,L1,,10A,FAB
2qqk,L1,,11A,FAB
3c5s,L1,,16A,FAB
3dv4,L1,,17A,FV
3dsf,L1,,11A,FAB
1aqk,L1,,14G,FAB
1rur,L1,,16A,FAB
2gcy,L1,,15G,FAB
1fl3,L1,,16A,FAB
1vfa,L1,11A,11A,FV
3hns,L1,,11A,FAB
2f5b,L1,,11A,FAB
1oau,L1,,14B,FV
2ny1,L1,,11A,FAB
1a7q,L1,,11A,FV
2bob,L1,,11A,FAB
1mvu,L1,,17A,FV
1ine,L1,,14B,FAB
1fvc,L1,11A,11A,FV
2c1o,L1,,16A,FAB
1ad0,L1,,10A,FAB
1mj8,L1,,16A,FAB
1mpa,L1,,16A,FAB
3ejy,L1,,10A,FAB
2osl,L1,,10A,FAB
1d6v,L1,,11A,FAB
1s78,L1,,11A,FAB
1e4w,L1,,11A,FAB
3fct,L1,,11A,FAB
2vxt,L1,,11A,FAB
2vxu,L1,,11A,FAB
1tjg,L1,,11A,FAB
1otu,L1,,10A,FAB
2ht4,L1,,10A,FAB
1jrh,L1,,11A,FAB
3cxd,L1,,11A,FAB
2ntf,L1,,14B,FAB
1ztx,L1,,11A,FAB
1a3l,L1,,16A,FAB
1m7i,L1,,16A,FAB
1qfu,L1,,16A,FAB
2orb,L1,,11A,FAB
2aj3,L1,,11A,FAB
2iqa,L1,,16A,FAB
1cfn,L1,,11A,FAB
2gsg,L1,,12E,FV
2g5b,L1,,17A,FAB
1jnn,L1,,11A,FAB
1kfa,L1,,16A,FAB
3cfd,L1,,11A,FAB
2j88,L1,,11A,FAB
2itd,L1,,11A,FAB
1s5i,L1,,16A,FAB
1bvl,L1,,11A,FV
1cgs,L1,16A,16A,FAB
1a2y,L1,,11A,FV
2zcl,L1,,15B,FAB
2b2x,L1,,10A,FAB
1ruq,L1,,16A,FAB
1lo2,L1,,16A,FAB
3hc4,L1,,11A,FAB
2dwd,L1,,11A,FAB
1kcv,L1,,11A,FAB
3ffd,L1,,12E,FAB
1q0y,L1,,14B,FAB
1a4k,L1,,16A,FAB
2nxy,L1,,11A,FAB
1nmb,L1,,11A,FAB
1zlu,L1,,11A,FAB
2dbl,L1,,16A,FAB
1d5i,L1,,11A,FAB
3hnt,L1,,11A,FAB
6fab,L1,11A,11A,FAB
2nyy,L1,,15G,FAB
1q9r,L1,,17A,FAB
1u6a,L1,,12C,FAB
2bdn,L1,,11A,FAB
1a7o,L1,,11A,FV
2ig2,L1,,13A,FAB
2fb4,L1,13A,13A,FAB
2hmi,L1,,11A,FAB
1vfb,L1,,11A,FV
1p4b,L1,,14B,FV
1ad9,L1,,16A,FAB
1ikf,L1,11A,11A,FAB
1oak,L1,,11A,FAB
3hi5,L1,,11A,FAB
1jps,L1,,11A,FAB
1yed,L1,,16A,FAB
1bgx,L1,,10A,FAB
3ijs,L1,,17A,FAB
2fee,L1,,10A,FAB
1cz8,L1,,11A,FAB
2ny7,L1,,12B,FAB
