PDB,LOOP,CAN_OLD,CAN_NEW,TYPE
1bm3,L2,,7A,FAB
2ajx,L2,,7A,FAB
1jfq,L2,,7A,FAB
2v7n,L2,,7A,FAB
1r0a,L2,,7A,FAB
1plg,L2,,7A,FAB
1u8o,L2,,7A,FAB
3gi8,L2,,7A,FAB
3eyo,L2,,7A,FAB
1nc2,L2,,7C,FAB
1ce1,L2,,7A,FAB
3eot,L2,,7E,FAB
1z3g,L2,,7A,FAB
2a6d,L2,,7B,FAB
1gig,L2,7A,7A,FAB
1a7n,L2,,7A,FV
1oaz,L2,,7A,FV
1fsk,L2,,7A,FAB
1u8j,L2,,7A,FAB
3gk8,L2,,7A,FAB
1a4j,L2,,7A,FAB
1p7k,L2,,7A,FAB
1jhk,L2,,7A,FAB
1e6o,L2,,7A,FAB
3gbm,L2,,7A,FAB
2dqf,L2,,7A,FV
1lk3,L2,,7A,FAB
2hkh,L2,,7A,FAB
1il1,L2,,7A,FAB
1it9,L2,,7A,FAB
1cfv,L2,,7A,FV
2fx9,L2,,7A,FAB
1dee,L2,,7A,FAB
1dbm,L2,,7A,FAB
1bey,L2,,7A,FAB
1t66,L2,,7A,FAB
2jb6,L2,,7A,
1hi6,L2,,7A,FAB
2ih3,L2,,7A,FAB
1fns,L2,,7A,FAB
1mhp,L2,,7A,FAB
3duu,L2,,7A,FV
2fed,L2,,7A,FAB
2qqk,L2,,7A,FAB
3c5s,L2,,7A,FAB
3dv4,L2,,7A,FV
3dsf,L2,,7A,FAB
1aqk,L2,,7A,FAB
1rur,L2,,7A,FAB
2gcy,L2,,7A,FAB
1fl3,L2,,7A,FAB
1vfa,L2,7A,7A,FV
3hns,L2,,7A,FAB
2f5b,L2,,7A,FAB
1oau,L2,,7A,FV
2ny1,L2,,7A,FAB
1a7q,L2,,7A,FV
2bob,L2,,7A,FAB
1mvu,L2,,7A,FV
1ine,L2,,7A,FAB
1fvc,L2,7A,7A,FV
2c1o,L2,,7A,FAB
1ad0,L2,,7A,FAB
1mj8,L2,,7A,FAB
1mpa,L2,,7A,FAB
3ejy,L2,,7A,FAB
2osl,L2,,7A,FAB
1d6v,L2,,7A,FAB
1s78,L2,,7A,FAB
1e4w,L2,,7A,FAB
3fct,L2,,7A,FAB
2vxt,L2,,7A,FAB
2vxu,L2,,7A,FAB
1tjg,L2,,7A,FAB
1otu,L2,,7A,FAB
2ht4,L2,,7A,FAB
1jrh,L2,,7A,FAB
3cxd,L2,,7A,FAB
2ntf,L2,,7A,FAB
1ztx,L2,,7A,FAB
1a3l,L2,,7A,FAB
1m7i,L2,,7A,FAB
1qfu,L2,,7A,FAB
2orb,L2,,7A,FAB
2aj3,L2,,7A,FAB
2iqa,L2,,7A,FAB
1cfn,L2,,7A,FAB
2gsg,L2,,11A,FV
2g5b,L2,,7A,FAB
1jnn,L2,,7A,FAB
1kfa,L2,,7A,FAB
3cfd,L2,,7A,FAB
2j88,L2,,7A,FAB
2itd,L2,,7A,FAB
1s5i,L2,,7A,FAB
1bvl,L2,,7A,FV
1cgs,L2,7A,7A,FAB
1a2y,L2,,7A,FV
2zcl,L2,,7A,FAB
2b2x,L2,,7A,FAB
1ruq,L2,,7A,FAB
1lo2,L2,,7A,FAB
3hc4,L2,,7A,FAB
2dwd,L2,,7A,FAB
1kcv,L2,,7A,FAB
3ffd,L2,,11A,FAB
1q0y,L2,,7A,FAB
1a4k,L2,,7A,FAB
2nxy,L2,,7A,FAB
1nmb,L2,,7A,FAB
1zlu,L2,,7A,FAB
2dbl,L2,,7A,FAB
1d5i,L2,,7A,FAB
3hnt,L2,,7A,FAB
6fab,L2,7B,7B,FAB
2nyy,L2,,7A,FAB
1q9r,L2,,7A,FAB
1u6a,L2,,7A,FAB
2bdn,L2,,7A,FAB
1a7o,L2,,7A,FV
2ig2,L2,,7A,FAB
2fb4,L2,7A,7A,FAB
2hmi,L2,,7A,FAB
1vfb,L2,,7A,FV
1p4b,L2,,7A,FV
1ad9,L2,,7A,FAB
1ikf,L2,7A,7A,FAB
1oak,L2,,7A,FAB
3hi5,L2,,7A,FAB
1jps,L2,,7A,FAB
1yed,L2,,7A,FAB
1bgx,L2,,7D,FAB
3ijs,L2,,7A,FAB
2fee,L2,,7A,FAB
1cz8,L2,,7A,FAB
2ny7,L2,,7A,FAB
3cfb,L2,,7A,FAB
2dqg,L2,,7A,FV
3be1,L2,,7A,FAB
1ngq,L2,,7A,FAB
2h1p,L2,,7A,FAB
2rcs,L2,,7A,FAB
1a7r,L2,,7A,FV
3d85,L2,,7A,FAB
1ucb,L2,,7A,FAB
2fjh,L2,,7A,FAB
8fab,L2,7A,7A,FAB
